"Package","Version","LibPath"
"codetools","0.2-20","/usr/local/lib/R/library"
"compiler","4.4.3","/usr/local/lib/R/library"
"datasets","4.4.3","/usr/local/lib/R/library"
"foreign","0.8-88","/usr/local/lib/R/library"
"graphics","4.4.3","/usr/local/lib/R/library"
"grDevices","4.4.3","/usr/local/lib/R/library"
"grid","4.4.3","/usr/local/lib/R/library"
"KernSmooth","2.23-26","/usr/local/lib/R/library"
"lattice","0.22-6","/usr/local/lib/R/library"
"MASS","7.3-64","/usr/local/lib/R/library"
"Matrix","1.7-2","/usr/local/lib/R/library"
"methods","4.4.3","/usr/local/lib/R/library"
"mgcv","1.9-1","/usr/local/lib/R/library"
"nlme","3.1-167","/usr/local/lib/R/library"
"nnet","7.3-20","/usr/local/lib/R/library"
"parallel","4.4.3","/usr/local/lib/R/library"
"rpart","4.1.24","/usr/local/lib/R/library"
"spatial","7.3-18","/usr/local/lib/R/library"
"splines","4.4.3","/usr/local/lib/R/library"
"stats","4.4.3","/usr/local/lib/R/library"
"stats4","4.4.3","/usr/local/lib/R/library"
"survival","3.8-3","/usr/local/lib/R/library"
"tcltk","4.4.3","/usr/local/lib/R/library"
"tools","4.4.3","/usr/local/lib/R/library"
"utils","4.4.3","/usr/local/lib/R/library"
